TimestampLocal,Watts
2012-04-15 00:00:00,318.93613
2012-04-15 00:15:00,260.1645
2012-04-15 00:30:00,226.09122
2012-04-15 00:45:00,310.04764
2012-04-15 01:00:00,271.08774
2012-04-15 01:15:00,368.77335
2012-04-15 01:30:00,359.75183
2012-04-15 01:45:00,328.55167
2012-04-15 02:00:00,342.92328
2012-04-15 02:15:00,290.13315
2012-04-15 02:30:00,312.47034
2012-04-15 02:45:00,292.17337
2012-04-15 03:00:00,234.21246
2012-04-15 03:15:00,378.6574
2012-04-15 03:30:00,337.1397
2012-04-15 03:45:00,335.50064
2012-04-15 04:00:00,499.55063
2012-04-15 04:15:00,347.46567
2012-04-15 04:30:00,430.20258
2012-04-15 04:45:00,533.17786
2012-04-15 05:00:00,584.4547
2012-04-15 05:15:00,421.6241
2012-04-15 05:30:00,789.08295
2012-04-15 05:45:00,547.8419
2012-04-15 06:00:00,327.3931
2012-04-15 06:15:00,598.4993
2012-04-15 06:30:00,256.22296
2012-04-15 06:45:00,219.84567
2012-04-15 07:00:00,269.72568
2012-04-15 07:15:00,233.78732
2012-04-15 07:30:00,223.25456
2012-04-15 07:45:00,242.59856
2012-04-15 08:00:00,221.67271
2012-04-15 08:15:00,230.11296
2012-04-15 08:30:00,200.92308
2012-04-15 08:45:00,233.16615
2012-04-15 09:00:00,217.90866
2012-04-15 09:15:00,206.32599
2012-04-15 09:30:00,225.57053
2012-04-15 09:45:00,219.93129
2012-04-15 10:00:00,225.02518
2012-04-15 10:15:00,242.9657
2012-04-15 10:30:00,203.55344
2012-04-15 10:45:00,260.7449
2012-04-15 11:00:00,248.5802
2012-04-15 11:15:00,221.20795
2012-04-15 11:30:00,383.58173
2012-04-15 11:45:00,398.93268
2012-04-15 12:00:00,290.60413
2012-04-15 12:15:00,813.23505
2012-04-15 12:30:00,419.8249
2012-04-15 12:45:00,1288.3483
2012-04-15 13:00:00,977.98364
2012-04-15 13:15:00,1127.8228
2012-04-15 13:30:00,959.2847
2012-04-15 13:45:00,1012.93555
2012-04-15 14:00:00,659.6879
2012-04-15 14:15:00,274.27557
2012-04-15 14:30:00,680.1327
2012-04-15 14:45:00,163.95451
2012-04-15 15:00:00,253.93117
2012-04-15 15:15:00,351.28583
2012-04-15 15:30:00,163.46571
2012-04-15 15:45:00,799.58514
2012-04-15 16:00:00,605.233
2012-04-15 16:15:00,672.748
2012-04-15 16:30:00,959.7412
2012-04-15 16:45:00,637.327
2012-04-15 17:00:00,1423.8782
2012-04-15 17:15:00,367.79315
2012-04-15 17:30:00,917.0036
2012-04-15 17:45:00,373.74994
2012-04-15 18:00:00,339.51074
2012-04-15 18:15:00,327.60324
2012-04-15 18:30:00,233.71115
2012-04-15 18:45:00,148.3166
2012-04-15 19:00:00,328.4997
2012-04-15 19:15:00,344.18237
2012-04-15 19:30:00,266.86102
2012-04-15 19:45:00,393.6413
2012-04-15 20:00:00,408.54446
2012-04-15 20:15:00,407.98965
2012-04-15 20:30:00,345.41663
2012-04-15 20:45:00,294.53848
2012-04-15 21:00:00,180.30473
2012-04-15 21:15:00,159.60095
2012-04-15 21:30:00,166.43118
2012-04-15 21:45:00,158.75435
2012-04-15 22:00:00,182.78123
2012-04-15 22:15:00,159.63518
