TimestampLocal,Watts
2012-04-15 00:00:00,463.3011135857461
2012-04-15 00:15:00,463.85939933259175
2012-04-15 00:30:00,509.0159242761693
2012-04-15 00:45:00,523.2915555555555
2012-04-15 01:00:00,371.2813125695217
2012-04-15 01:15:00,370.7687430478309
2012-04-15 01:30:00,440.1471635150167
2012-04-15 01:45:00,452.730700778643
2012-04-15 02:00:00,524.1142380422692
2012-04-15 02:15:00,413.182424916574
2012-04-15 02:30:00,442.89677777777774
2012-04-15 02:45:00,487.1804444444445
2012-04-15 03:00:00,575.7112222222222
2012-04-15 03:15:00,526.594660734149
2012-04-15 03:30:00,447.13741648106907
2012-04-15 03:45:00,367.5811111111111
2012-04-15 04:00:00,367.0556173526141
2012-04-15 04:15:00,368.541935483871
2012-04-15 04:30:00,613.272
2012-04-15 04:45:00,459.7248053392658
2012-04-15 05:00:00,529.8163879598662
2012-04-15 05:15:00,479.825564803805
2012-04-15 05:30:00,378.94732739420937
2012-04-15 05:45:00,518.2262222222222
2012-04-15 06:00:00,416.7360089186176
2012-04-15 06:15:00,368.0734671125976
2012-04-15 06:30:00,490.0119021134594
2012-04-15 06:45:00,431.5107777777778
2012-04-15 07:00:00,506.68666666666667
2012-04-15 07:15:00,485.0745555555556
2012-04-15 07:30:00,358.30901001112346
2012-04-15 07:45:00,568.3000000000001
2012-04-15 08:00:00,604.9683333333334
2012-04-15 08:15:00,1360.3898776418243
2012-04-15 08:30:00,989.5285555555556
2012-04-15 08:45:00,597.9722285714286
2012-04-15 09:00:00,735.3742474916387
2012-04-15 09:15:00,895.5589543937708
2012-04-15 09:30:00,448.9173333333333
2012-04-15 09:45:00,378.84866666666665
2012-04-15 10:00:00,423.1658314350797
2012-04-15 10:15:00,493.370279329609
2012-04-15 10:30:00,560.4510044642857
2012-04-15 10:45:00,969.5035674470456
2012-04-15 11:00:00,1493.7277389277388
2012-04-15 11:15:00,1347.3844444444444
2012-04-15 11:30:00,1244.8664444444446
2012-04-15 11:45:00,1014.8269487750556
2012-04-15 12:00:00,863.4371523915462
2012-04-15 12:15:00,459.2402222222223
2012-04-15 12:30:00,434.31581291759466
2012-04-15 12:45:00,845.679
2012-04-15 13:00:00,888.2706340378198
2012-04-15 13:15:00,959.6072302558398
2012-04-15 13:30:00,1258.509933035714
2012-04-15 13:45:00,986.4703786191536
2012-04-15 14:00:00,1920.9085555555555
2012-04-15 14:15:00,855.2301495972382
2012-04-15 14:30:00,774.8808676307008
2012-04-15 14:45:00,395.4416017797553
2012-04-15 15:00:00,358.5576666666667
2012-04-15 15:15:00,409.5072222222222
2012-04-15 15:30:00,1229.1110367892975
2012-04-15 15:45:00,1152.9428238039673
2012-04-15 16:00:00,1332.621468298109
2012-04-15 16:15:00,823.7561247216036
2012-04-15 16:30:00,877.6571746384873
2012-04-15 16:45:00,913.1392222222224
2012-04-15 17:00:00,640.3824444444444
2012-04-15 17:15:00,684.6125555555556
