data,Watts
2012-04-15 00:00:00,224.37422
2012-04-15 00:15:00,312.24936
2012-04-15 00:30:00,653.8164
2012-04-15 00:45:00,1035.1039
2012-04-15 01:00:00,910.8631
2012-04-15 01:15:00,555.1024
2012-04-15 01:30:00,355.92157
2012-04-15 01:45:00,313.21622
2012-04-15 02:00:00,169.40363
2012-04-15 02:15:00,156.3842
2012-04-15 02:30:00,157.45541
2012-04-15 02:45:00,322.51367
2012-04-15 03:00:00,521.5099
2012-04-15 03:15:00,311.94067
2012-04-15 03:30:00,217.36101
2012-04-15 03:45:00,531.1635
2012-04-15 04:00:00,910.80994
2012-04-15 04:15:00,773.25104
2012-04-15 04:30:00,354.82358
2012-04-15 04:45:00,91.505165
2012-04-15 05:00:00,361.31842
2012-04-15 05:15:00,966.4006
2012-04-15 05:30:00,1142.2264
2012-04-15 05:45:00,784.44336
2012-04-15 06:00:00,361.8639
2012-04-15 06:15:00,358.33356
2012-04-15 06:30:00,706.66296
2012-04-15 06:45:00,744.9644
2012-04-15 07:00:00,294.65482
2012-04-15 07:15:00,243.10788
2012-04-15 07:30:00,657.19324
2012-04-15 07:45:00,532.4912
2012-04-15 08:00:00,283.98215
2012-04-15 08:15:00,712.4979
2012-04-15 08:30:00,1222.8081
2012-04-15 08:45:00,967.8544
2012-04-15 09:00:00,451.15204
2012-04-15 09:15:00,127.100296
2012-04-15 09:30:00,93.558624
2012-04-15 09:45:00,361.1676
2012-04-15 10:00:00,373.71042
2012-04-15 10:15:00,229.4557
2012-04-15 10:30:00,674.97375
2012-04-15 10:45:00,869.27844
2012-04-15 11:00:00,719.0105
2012-04-15 11:15:00,478.7681
2012-04-15 11:30:00,208.87961
2012-04-15 11:45:00,470.59973
2012-04-15 12:00:00,1096.7406
2012-04-15 12:15:00,1112.9241
2012-04-15 12:30:00,567.7098
2012-04-15 12:45:00,158.11192
2012-04-15 13:00:00,447.68222
2012-04-15 13:15:00,1045.7686
2012-04-15 13:30:00,706.7506
2012-04-15 13:45:00,358.62784
2012-04-15 14:00:00,856.4457
2012-04-15 14:15:00,1048.307
2012-04-15 14:30:00,207.39168
2012-04-15 14:45:00,237.63844
2012-04-15 15:00:00,988.45154
2012-04-15 15:15:00,1760.9935
2012-04-15 15:30:00,1318.6537
2012-04-15 15:45:00,909.5561
2012-04-15 16:00:00,745.24664
2012-04-15 16:15:00,171.05075
2012-04-15 16:30:00,40.08867
2012-04-15 16:45:00,530.4244
2012-04-15 17:00:00,1630.1425
2012-04-15 17:15:00,2462.3513
2012-04-15 17:30:00,3224.019
2012-04-15 17:45:00,2555.0073
