TimestampUTC,Watts
2012-04-30 09:15:00,637.9016
2012-04-30 09:30:00,713.4376
2012-04-30 09:45:00,475.41888
2012-04-30 10:00:00,744.15094
2012-04-30 10:15:00,1173.8889
2012-04-30 10:30:00,1310.2802
2012-04-30 10:45:00,1151.234
2012-04-30 11:00:00,1076.3499
2012-04-30 11:15:00,1129.1338
2012-04-30 11:30:00,1237.0104
2012-04-30 11:45:00,1202.2936
2012-04-30 12:00:00,1117.8655
2012-04-30 12:15:00,1210.6184
2012-04-30 12:30:00,953.6495
2012-04-30 12:45:00,431.9278
2012-04-30 13:00:00,825.01776
2012-04-30 13:15:00,981.648
2012-04-30 13:30:00,1382.5197
2012-04-30 13:45:00,1226.0308
2012-04-30 14:00:00,1268.88
2012-04-30 14:15:00,1473.5542
2012-04-30 14:30:00,1447.8319
2012-04-30 14:45:00,1136.888
2012-04-30 15:00:00,1427.0573
2012-04-30 15:15:00,1680.0254
2012-04-30 15:30:00,1658.1578
2012-04-30 15:45:00,1478.656
2012-04-30 16:00:00,1428.6738
2012-04-30 16:15:00,1427.1746
2012-04-30 16:30:00,792.9162
2012-04-30 16:45:00,1307.4623
2012-04-30 17:00:00,333.6998
2012-04-30 17:15:00,328.90662
2012-04-30 17:30:00,464.04837
2012-04-30 17:45:00,394.04474
2012-04-30 18:00:00,363.37988
2012-04-30 18:15:00,1264.3429
2012-04-30 18:30:00,139.11266
2012-04-30 18:45:00,181.53262
2012-04-30 19:00:00,233.50917
2012-04-30 19:15:00,1524.2087
2012-04-30 19:30:00,1477.8356
2012-04-30 19:45:00,288.48264
2012-04-30 20:00:00,1748.8486
2012-04-30 20:15:00,1605.0009
2012-04-30 20:30:00,1612.122
2012-04-30 20:45:00,1738.9282
2012-04-30 21:00:00,1794.4984
2012-04-30 21:15:00,1785.3734
2012-04-30 21:30:00,1781.4854
2012-04-30 21:45:00,1367.894
2012-04-30 22:00:00,1877.563
2012-04-30 22:15:00,1192.0312
2012-04-30 22:30:00,250.47388
2012-04-30 22:45:00,254.6077
2012-04-30 23:00:00,1686.95
2012-04-30 23:15:00,1845.3898
2012-04-30 23:30:00,660.6616
2012-04-30 23:45:00,325.5042
2012-05-01 00:00:00,375.91843
2012-05-01 00:15:00,2137.4502
2012-05-01 00:30:00,523.5582
2012-05-01 00:45:00,1095.4302
2012-05-01 01:00:00,1593.8685
2012-05-01 01:15:00,1764.1299
2012-05-01 01:30:00,520.00214
2012-05-01 01:45:00,504.77567
2012-05-01 02:00:00,587.87164
2012-05-01 02:15:00,1189.0338
2012-05-01 02:30:00,464.64865
2012-05-01 02:45:00,466.61285
2012-05-01 03:00:00,434.6165
2012-05-01 03:15:00,412.64798
2012-05-01 03:30:00,382.43744
2012-05-01 03:45:00,378.48132
2012-05-01 04:00:00,437.88565
2012-05-01 04:15:00,1223.9369
2012-05-01 04:30:00,823.6564
2012-05-01 04:45:00,787.37476
2012-05-01 05:00:00,1246.0671
2012-05-01 05:15:00,1121.9451
2012-05-01 05:30:00,1034.0688
2012-05-01 05:45:00,1093.8224
