watts,data
944.9132,2012-04-30 09:15:00
372.83014,2012-04-30 09:30:00
537.7044,2012-04-30 09:45:00
485.2681,2012-04-30 10:00:00
732.19183,2012-04-30 10:15:00
796.3017,2012-04-30 10:30:00
802.94037,2012-04-30 10:45:00
1198.2542,2012-04-30 11:00:00
1221.2301,2012-04-30 11:15:00
946.3751,2012-04-30 11:30:00
867.4381,2012-04-30 11:45:00
552.227,2012-04-30 12:00:00
419.5063,2012-04-30 12:15:00
457.4731,2012-04-30 12:30:00
1072.7179,2012-04-30 12:45:00
620.9906,2012-04-30 13:00:00
745.05194,2012-04-30 13:15:00
1226.2822,2012-04-30 13:30:00
761.3378,2012-04-30 13:45:00
790.79816,2012-04-30 14:00:00
497.43307,2012-04-30 14:15:00
407.68228,2012-04-30 14:30:00
92.31909,2012-04-30 14:45:00
386.77338,2012-04-30 15:00:00
1000.0527,2012-04-30 15:15:00
469.85892,2012-04-30 15:30:00
1240.9368,2012-04-30 15:45:00
648.2479,2012-04-30 16:00:00
636.9337,2012-04-30 16:15:00
1129.1506,2012-04-30 16:30:00
374.38696,2012-04-30 16:45:00
577.35913,2012-04-30 17:00:00
168.78415,2012-04-30 17:15:00
1982.3525,2012-04-30 17:30:00
832.6685,2012-04-30 17:45:00
936.0226,2012-04-30 18:00:00
522.1577,2012-04-30 18:15:00
891.3925,2012-04-30 18:30:00
1009.7025,2012-04-30 18:45:00
1177.3146,2012-04-30 19:00:00
1400.1786,2012-04-30 19:15:00
1220.2417,2012-04-30 19:30:00
1089.8496,2012-04-30 19:45:00
1008.28076,2012-04-30 20:00:00
984.37573,2012-04-30 20:15:00
687.5226,2012-04-30 20:30:00
912.3889,2012-04-30 20:45:00
494.86877,2012-04-30 21:00:00
1062.2157,2012-04-30 21:15:00
738.5989,2012-04-30 21:30:00
1373.4894,2012-04-30 21:45:00
780.9766,2012-04-30 22:00:00
598.7027,2012-04-30 22:15:00
464.7553,2012-04-30 22:30:00
463.48865,2012-04-30 22:45:00
965.9094,2012-04-30 23:00:00
673.13525,2012-04-30 23:15:00
1567.1229,2012-04-30 23:30:00
1129.9014,2012-04-30 23:45:00
254.9516,2012-05-07 00:00:00
105.48932,2012-05-07 00:15:00
993.5555,2012-05-07 00:30:00
497.4912,2012-05-07 00:45:00
563.7347,2012-05-07 01:00:00
636.5115,2012-05-07 01:15:00
494.9849,2012-05-07 01:30:00
949.2394,2012-05-07 01:45:00
476.78717,2012-05-07 02:00:00
1171.3108,2012-05-07 02:15:00
128.50844,2012-05-07 02:30:00
324.7704,2012-05-07 02:45:00
1319.1129,2012-05-07 03:00:00
615.9609,2012-05-07 03:15:00
165.8953,2012-05-07 03:30:00
