data,Watts
2012-04-15 00:00:00,105.94309
2012-04-15 00:15:00,153.89676
2012-04-15 00:30:00,203.04982
2012-04-15 00:45:00,235.13539
2012-04-15 01:00:00,225.0776
2012-04-15 01:15:00,215.69595
2012-04-15 01:30:00,208.34274
2012-04-15 01:45:00,212.56517
2012-04-15 02:00:00,225.38884
2012-04-15 02:15:00,175.62834
2012-04-15 02:30:00,180.70206
2012-04-15 02:45:00,204.49176
2012-04-15 03:00:00,223.51396
2012-04-15 03:15:00,234.9511
2012-04-15 03:30:00,250.16026
2012-04-15 03:45:00,253.54645
2012-04-15 04:00:00,232.79048
2012-04-15 04:15:00,209.72972
2012-04-15 04:30:00,195.24338
2012-04-15 04:45:00,204.43896
2012-04-15 05:00:00,214.74542
2012-04-15 05:15:00,220.32712
2012-04-15 05:30:00,196.89317
2012-04-15 05:45:00,176.57385
2012-04-15 06:00:00,170.56226
2012-04-15 06:15:00,169.65251
2012-04-15 06:30:00,163.48343
2012-04-15 06:45:00,163.61539
2012-04-15 07:00:00,164.54172
2012-04-15 07:15:00,164.27365
2012-04-15 07:30:00,168.31744
2012-04-15 07:45:00,179.62634
2012-04-15 08:00:00,269.98425
2012-04-15 08:15:00,197.86879
2012-04-15 08:30:00,223.66139
2012-04-15 08:45:00,215.23355
2012-04-15 09:00:00,192.10321
2012-04-15 09:15:00,189.9812
2012-04-15 09:30:00,205.80566
2012-04-15 09:45:00,187.84807
2012-04-15 10:00:00,159.56526
2012-04-15 10:15:00,139.92886
2012-04-15 10:30:00,137.73225
2012-04-15 10:45:00,135.33957
2012-04-15 11:00:00,134.91579
2012-04-15 11:15:00,134.15239
2012-04-15 11:30:00,137.54468
2012-04-15 11:45:00,154.07605
2012-04-15 12:00:00,154.48392
2012-04-15 12:15:00,144.87325
2012-04-15 12:30:00,133.46097
2012-04-15 12:45:00,121.710625
2012-04-15 13:00:00,146.90845
2012-04-15 13:15:00,223.49083
2012-04-15 13:30:00,442.46042
2012-04-15 13:45:00,104.13451
2012-04-15 14:00:00,336.2063
2012-04-15 14:15:00,411.67023
2012-04-15 14:30:00,453.93005
2012-04-15 14:45:00,376.62857
2012-04-15 15:00:00,226.18648
2012-04-15 15:15:00,199.63266
2012-04-15 15:30:00,243.96654
2012-04-15 15:45:00,250.67784
2012-04-15 16:00:00,235.16615
2012-04-15 16:15:00,246.47809
2012-04-15 16:30:00,231.85608
2012-04-15 16:45:00,206.14526
2012-04-15 17:00:00,194.95241
2012-04-15 17:15:00,192.06287
2012-04-15 17:30:00,186.33197
2012-04-15 17:45:00,179.24312
2012-04-15 18:00:00,180.37576
2012-04-15 18:15:00,314.54865
2012-04-15 18:30:00,200.94743
2012-04-15 18:45:00,217.2308
2012-04-15 19:00:00,245.30858
2012-04-15 19:15:00,289.25552
2012-04-15 19:30:00,319.90985
2012-04-15 19:45:00,291.75247
2012-04-15 20:00:00,226.81421
2012-04-15 20:15:00,214.42413
2012-04-15 20:30:00,247.67967
2012-04-15 20:45:00,276.0039
2012-04-15 21:00:00,264.16458
2012-04-15 21:15:00,258.29694
2012-04-15 21:30:00,247.27791
2012-04-15 21:45:00,226.17732
2012-04-15 22:00:00,212.75667
2012-04-15 22:15:00,206.49054
2012-04-15 22:30:00,205.20956
2012-04-15 22:45:00,189.9847
2012-04-15 23:00:00,196.4009
2012-04-15 23:15:00,257.9425
2012-04-15 23:30:00,260.35895
2012-04-15 23:45:00,221.08746
2012-04-16 00:00:00,96.92198
2012-04-16 00:15:00,147.19658
2012-04-16 00:30:00,200.54654
2012-04-16 00:45:00,234.07254
2012-04-16 01:00:00,226.2096
2012-04-16 01:15:00,216.82796
2012-04-16 01:30:00,218.2145
2012-04-16 01:45:00,209.29436
2012-04-16 02:00:00,196.94704
2012-04-16 02:15:00,183.86316
2012-04-16 02:30:00,179.0865
2012-04-16 02:45:00,171.7549
2012-04-16 03:00:00,180.2196
2012-04-16 03:15:00,216.85718
2012-04-16 03:30:00,246.06454
2012-04-16 03:45:00,240.75636
2012-04-16 04:00:00,227.08533
2012-04-16 04:15:00,212.00441
2012-04-16 04:30:00,175.18295
2012-04-16 04:45:00,169.68152
2012-04-16 05:00:00,203.67819
2012-04-16 05:15:00,237.4175
2012-04-16 05:30:00,284.90833
2012-04-16 05:45:00,343.07074
2012-04-16 06:00:00,207.3645
2012-04-16 06:15:00,261.47897
2012-04-16 06:30:00,320.95526
2012-04-16 06:45:00,292.95035
2012-04-16 07:00:00,199.05205
2012-04-16 07:15:00,196.91171
2012-04-16 07:30:00,191.31233
2012-04-16 07:45:00,182.4341
2012-04-16 08:00:00,200.77753
2012-04-16 08:15:00,379.9803
2012-04-16 08:30:00,187.01443
2012-04-16 08:45:00,264.41562
2012-04-16 09:00:00,294.87997
2012-04-16 09:15:00,327.7693
2012-04-16 09:30:00,322.96823
2012-04-16 09:45:00,214.20755
2012-04-16 10:00:00,157.74753
2012-04-16 10:15:00,196.34659
2012-04-16 10:30:00,217.65263
2012-04-16 10:45:00,197.69363
2012-04-16 11:00:00,215.98125
2012-04-16 11:15:00,264.50702
2012-04-16 11:30:00,270.62897
2012-04-16 11:45:00,398.8038
2012-04-16 12:00:00,139.84663
2012-04-16 12:15:00,262.50125
2012-04-16 12:30:00,369.47974
2012-04-16 12:45:00,438.83432
2012-04-16 13:00:00,468.29907
2012-04-16 13:15:00,354.88892
2012-04-16 13:30:00,212.8365
2012-04-16 13:45:00,210.35657
2012-04-16 14:00:00,253.15384
2012-04-16 14:15:00,246.30186
2012-04-16 14:30:00,252.90607
2012-04-16 14:45:00,309.89566
2012-04-16 15:00:00,273.24677
2012-04-16 15:15:00,220.85692
2012-04-16 15:30:00,240.80806
2012-04-16 15:45:00,239.68456
2012-04-16 16:00:00,226.81857
2012-04-16 16:15:00,216.77321
2012-04-16 16:30:00,211.30907
2012-04-16 16:45:00,227.80771
2012-04-16 17:00:00,232.3198
2012-04-16 17:15:00,227.5499
2012-04-16 17:30:00,222.94753
2012-04-16 17:45:00,203.59488
2012-04-16 18:00:00,185.36813
2012-04-16 18:15:00,174.63484
2012-04-16 18:30:00,165.56073
2012-04-16 18:45:00,154.33058
2012-04-16 19:00:00,165.40892
2012-04-16 19:15:00,137.04106
2012-04-16 19:30:00,160.26147
2012-04-16 19:45:00,199.68828
2012-04-16 20:00:00,247.29863
2012-04-16 20:15:00,282.29272
2012-04-16 20:30:00,135.70927
2012-04-16 20:45:00,273.5353
2012-04-16 21:00:00,314.14407
2012-04-16 21:15:00,259.09763
2012-04-16 21:30:00,155.59323
2012-04-16 21:45:00,154.83507
2012-04-16 22:00:00,205.09222
2012-04-16 22:15:00,210.30247
2012-04-16 22:30:00,201.51932
2012-04-16 22:45:00,224.78882
2012-04-16 23:00:00,218.57787
2012-04-16 23:15:00,234.75392
2012-04-16 23:30:00,358.89758
2012-04-16 23:45:00,225.82921
2012-04-17 00:00:00,330.34213
2012-04-17 00:15:00,348.58438
2012-04-17 00:30:00,357.07352
2012-04-17 00:45:00,354.70438
2012-04-17 01:00:00,361.67438
2012-04-17 01:15:00,381.4689
2012-04-17 01:30:00,392.0253
2012-04-17 01:45:00,391.4486
2012-04-17 02:00:00,397.28857
2012-04-17 02:15:00,405.71924
2012-04-17 02:30:00,402.50275
2012-04-17 02:45:00,386.27542
2012-04-17 03:00:00,362.2853
2012-04-17 03:15:00,341.42224
2012-04-17 03:30:00,321.47632
2012-04-17 03:45:00,313.8952
2012-04-17 04:00:00,338.88516
2012-04-17 04:15:00,406.5507
2012-04-17 04:30:00,458.56125
2012-04-17 04:45:00,420.6525
2012-04-17 05:00:00,471.67545
2012-04-17 05:15:00,523.0648
2012-04-17 05:30:00,519.98615
2012-04-17 05:45:00,428.2897
2012-04-17 06:00:00,339.35562
2012-04-17 06:15:00,331.85846
2012-04-17 06:30:00,385.62262
2012-04-17 06:45:00,435.5877
2012-04-17 07:00:00,408.06982
2012-04-17 07:15:00,386.66367
2012-04-17 07:30:00,364.48843
2012-04-17 07:45:00,356.58713
2012-04-17 08:00:00,357.265
2012-04-17 08:15:00,493.3165
2012-04-17 08:30:00,1023.5886
2012-04-17 08:45:00,667.23224
2012-04-17 09:00:00,334.35062
2012-04-17 09:15:00,645.06903
2012-04-17 09:30:00,758.15656
2012-04-17 09:45:00,692.3699
2012-04-17 10:00:00,386.64252
2012-04-17 10:15:00,203.7347
2012-04-17 10:30:00,260.3847
2012-04-17 10:45:00,285.64664
2012-04-17 11:00:00,274.2625
2012-04-17 11:15:00,270.7821
2012-04-17 11:30:00,241.69643
2012-04-17 11:45:00,222.56538
2012-04-17 12:00:00,223.0376
2012-04-17 12:15:00,222.96541
2012-04-17 12:30:00,216.7106
2012-04-17 12:45:00,235.97797
2012-04-17 13:00:00,266.6757
2012-04-17 13:15:00,289.454
2012-04-17 13:30:00,260.40802
2012-04-17 13:45:00,246.35312
2012-04-17 14:00:00,243.70917
2012-04-17 14:15:00,237.90149
2012-04-17 14:30:00,198.93732
2012-04-17 14:45:00,185.14871
2012-04-17 15:00:00,205.52866
2012-04-17 15:15:00,240.82419
2012-04-17 15:30:00,237.9113
2012-04-17 15:45:00,226.99066
2012-04-17 16:00:00,223.32071
2012-04-17 16:15:00,201.9285
2012-04-17 16:30:00,189.44269
2012-04-17 16:45:00,192.38217
2012-04-17 17:00:00,397.4288
2012-04-17 17:15:00,390.31815
2012-04-17 17:30:00,403.7761
2012-04-17 17:45:00,197.71959
2012-04-17 18:00:00,384.92444
2012-04-17 18:15:00,412.2179
2012-04-17 18:30:00,413.3187
2012-04-17 18:45:00,278.61298
2012-04-17 19:00:00,175.34044
2012-04-17 19:15:00,203.27338
2012-04-17 19:30:00,255.19974
2012-04-17 19:45:00,268.02887
2012-04-17 20:00:00,271.48004
2012-04-17 20:15:00,282.26132
2012-04-17 20:30:00,280.5681
2012-04-17 20:45:00,260.53586
2012-04-17 21:00:00,268.02777
2012-04-17 21:15:00,278.81952
2012-04-17 21:30:00,260.08435
2012-04-17 21:45:00,241.35225
2012-04-17 22:00:00,243.59923
2012-04-17 22:15:00,275.33475
2012-04-17 22:30:00,260.39496
2012-04-17 22:45:00,253.6736
2012-04-17 23:00:00,211.76645
2012-04-17 23:15:00,218.63327
2012-04-17 23:30:00,308.6123
2012-04-17 23:45:00,358.85287
2012-04-18 00:00:00,97.311745
2012-04-18 00:15:00,165.93828
2012-04-18 00:30:00,210.27129
2012-04-18 00:45:00,241.03249
2012-04-18 01:00:00,233.09016
2012-04-18 01:15:00,227.72853
2012-04-18 01:30:00,229.30222
2012-04-18 01:45:00,227.45982
2012-04-18 02:00:00,221.34352
2012-04-18 02:15:00,212.64064
2012-04-18 02:30:00,206.28987
2012-04-18 02:45:00,197.11412
2012-04-18 03:00:00,188.4097
2012-04-18 03:15:00,181.85283
2012-04-18 03:30:00,176.01811
2012-04-18 03:45:00,174.5463
2012-04-18 04:00:00,173.52377
2012-04-18 04:15:00,175.52191
2012-04-18 04:30:00,177.22339
2012-04-18 04:45:00,181.23033
2012-04-18 05:00:00,184.4658
